Kecamatan,Tahun,N (mg/kg),P (mg/kg),K (mg/kg),pH Tanah,Jenis Tanah,Indeks Kualitas Tanah,Curah Hujan (mm/thn),Kelembapan (%),Suhu (°C),Kecepatan Angin (km/jam),Matahari (jam/hari),Ketinggian (mdpl)
Sidoarjo,2019,683,14,79,6.2,Aluvial,75,1784,81,27,10,7,4
Buduran,2019,686,14,81,6.2,Aluvial,76,1794,82,27,10,7,3
Candi,2019,693,13,82,6.1,Aluvial,74,1763,79,27,10,6,3
Gedangan,2019,681,14,79,6.2,Latosol,73,1753,79,27,10,7,5
Jabon,2019,679,13,77,6.2,Grumusol,74,1752,78,27,9,7,4
Krian,2019,703,15,80,6.2,Grumusol,76,1803,80,28,9,7,8
Krembung,2019,722,16,82,6.3,Aluvial,77,1853,84,28,10,7,8
Porong,2019,707,14,79,6.2,Grumusol,76,1823,82,26,10,7,6
Prambon,2019,700,14,79,6.2,Grumusol,75,1803,81,28,9,7,7
Sedati,2019,701,14,80,6.3,Aluvial,75,1803,83,27,10,7,6
Sukodono,2019,702,15,81,6.2,Latosol,76,1803,81,27,9,7,6
Taman,2019,723,16,76,6.3,Latosol,77,1853,83,27,10,7,5
Tanggulangin,2019,713,15,81,6.2,Latosol,76,1823,82,28,10,7,5
Tarik,2019,684,14,81,6.2,Latosol,74,1763,79,27,11,6,6
Tulangan,2019,695,14,81,6.2,Latosol,74,1793,81,27,10,7,7
Waru,2019,703,15,78,6.3,Aluvial,77,1803,83,28,9,7,4
Wonoayu,2019,692,13,79,6.2,Grumusol,75,1783,80,27,10,7,5
Balongbendo,2019,713,15,78,6.3,Aluvial,77,1823,83,28,10,7,7
Sidoarjo,2020,684,14,79,6.2,Aluvial,75,1785,81,27,10,7,4
Buduran,2020,687,14,81,6.2,Aluvial,76,1795,82,27,10,7,3
Candi,2020,694,13,82,6.1,Aluvial,74,1764,79,27,10,6,3
Gedangan,2020,682,14,79,6.2,Latosol,73,1754,79,27,10,7,5
Jabon,2020,680,13,77,6.2,Grumusol,74,1753,78,27,9,7,4
Krian,2020,704,15,80,6.2,Grumusol,76,1804,80,28,9,7,8
Krembung,2020,723,16,82,6.3,Aluvial,77,1854,84,28,10,7,8
Porong,2020,708,14,79,6.2,Grumusol,76,1824,82,26,10,7,6
Prambon,2020,701,14,79,6.2,Grumusol,75,1804,81,28,9,7,7
Sedati,2020,702,14,80,6.3,Aluvial,75,1804,83,27,10,7,6
Sukodono,2020,703,15,81,6.2,Latosol,76,1804,81,27,9,7,6
Taman,2020,724,16,76,6.3,Latosol,77,1854,83,27,10,7,5
Tanggulangin,2020,714,15,81,6.2,Latosol,76,1824,82,28,10,7,5
Tarik,2020,685,14,81,6.2,Latosol,74,1764,79,27,11,6,6
Tulangan,2020,696,14,81,6.2,Latosol,74,1794,81,27,10,7,7
Waru,2020,704,15,78,6.3,Aluvial,77,1804,83,28,9,7,4
Wonoayu,2020,693,13,79,6.2,Grumusol,75,1784,80,27,10,7,5
Balongbendo,2020,714,15,78,6.3,Aluvial,77,1824,83,28,10,7,7
Sidoarjo,2021,685,14,80,6.3,Aluvial,76,1786,81,27,10,7,4
Buduran,2021,688,14,82,6.2,Aluvial,77,1796,82,27,10,7,3
Candi,2021,695,13,83,6.1,Aluvial,75,1765,79,27,10,6,3
Gedangan,2021,683,14,80,6.2,Latosol,74,1755,79,27,10,7,5
Jabon,2021,681,13,78,6.2,Grumusol,75,1754,78,27,9,7,4
Krian,2021,705,15,81,6.2,Grumusol,77,1805,80,28,9,7,8
Krembung,2021,724,16,83,6.3,Aluvial,78,1855,84,28,10,7,8
Porong,2021,709,14,80,6.2,Grumusol,77,1825,82,26,10,7,6
Prambon,2021,702,14,80,6.2,Grumusol,76,1805,81,28,9,7,7
Sedati,2021,703,14,81,6.3,Aluvial,76,1805,83,27,10,7,6
Sukodono,2021,704,15,82,6.2,Latosol,77,1805,81,27,9,7,6
Taman,2021,725,16,77,6.3,Latosol,78,1855,83,27,10,7,5
Tanggulangin,2021,715,15,82,6.2,Latosol,77,1825,82,28,10,7,5
Tarik,2021,686,14,82,6.2,Latosol,75,1765,79,27,11,6,6
Tulangan,2021,697,14,82,6.2,Latosol,75,1795,81,27,10,7,7
Waru,2021,705,15,79,6.3,Aluvial,78,1805,83,28,9,7,4
Wonoayu,2021,694,13,80,6.2,Grumusol,76,1785,80,27,10,7,5
Balongbendo,2021,715,15,79,6.3,Aluvial,78,1825,83,28,10,7,7
Sidoarjo,2022,686,14,81,6.3,Aluvial,77,1787,81,27,10,7,4
Buduran,2022,689,14,83,6.2,Aluvial,78,1797,82,27,10,7,3
Candi,2022,696,13,83,6.2,Aluvial,76,1766,79,27,10,6,3
Gedangan,2022,684,14,81,6.3,Latosol,75,1756,79,27,10,7,5
Jabon,2022,682,13,79,6.3,Grumusol,76,1755,78,27,9,7,4
Krian,2022,706,15,82,6.3,Grumusol,78,1806,80,28,9,7,8
Krembung,2022,725,16,84,6.4,Aluvial,79,1856,84,28,10,7,8
Porong,2022,710,14,81,6.3,Grumusol,78,1826,82,26,10,7,6
Prambon,2022,703,14,81,6.3,Grumusol,77,1806,81,28,9,7,7
Sedati,2022,704,14,82,6.4,Aluvial,77,1806,83,27,10,7,6
Sukodono,2022,705,15,83,6.3,Latosol,78,1806,81,27,9,7,6
Taman,2022,726,16,78,6.4,Latosol,79,1856,83,27,10,7,5
Tanggulangin,2022,716,15,83,6.3,Latosol,78,1826,82,28,10,7,5
Tarik,2022,687,14,83,6.3,Latosol,76,1766,79,27,11,6,6
Tulangan,2022,698,14,83,6.3,Latosol,76,1796,81,27,10,7,7
Waru,2022,706,15,80,6.4,Aluvial,79,1806,83,28,9,7,4
Wonoayu,2022,695,13,81,6.3,Grumusol,77,1786,80,27,10,7,5
Balongbendo,2022,716,15,80,6.4,Aluvial,79,1826,83,28,10,7,7
Sidoarjo,2023,687,14,82,6.4,Aluvial,78,1788,81,27,10,7,4
Buduran,2023,690,14,84,6.3,Aluvial,79,1798,82,27,10,7,3
Candi,2023,697,13,84,6.3,Aluvial,77,1767,79,27,10,6,3
Gedangan,2023,685,14,82,6.4,Latosol,76,1757,79,27,10,7,5
Jabon,2023,683,13,80,6.4,Grumusol,77,1756,78,27,9,7,4
Krian,2023,707,15,83,6.4,Grumusol,79,1807,80,28,9,7,8
Krembung,2023,726,16,85,6.5,Aluvial,80,1857,84,28,10,7,8
Porong,2023,711,14,82,6.4,Grumusol,79,1827,82,26,10,7,6
Prambon,2023,704,14,82,6.4,Grumusol,78,1807,81,28,9,7,7
Sedati,2023,705,14,83,6.5,Aluvial,78,1807,83,27,10,7,6
Sukodono,2023,706,15,84,6.4,Latosol,79,1807,81,27,9,7,6
Taman,2023,727,16,79,6.5,Latosol,80,1857,83,27,10,7,5
Tanggulangin,2023,717,15,84,6.4,Latosol,79,1827,82,28,10,7,5
Tarik,2023,688,14,84,6.4,Latosol,77,1767,79,27,11,6,6
Tulangan,2023,699,14,84,6.4,Latosol,77,1797,81,27,10,7,7
Waru,2023,707,15,81,6.5,Aluvial,80,1807,83,28,9,7,4
Wonoayu,2023,696,13,82,6.4,Grumusol,78,1787,80,27,10,7,5
Balongbendo,2023,717,15,81,6.5,Aluvial,80,1827,83,28,10,7,7
